episode,return,clicks,cost,budget_left,lambda
1,86.00000000000004,106,10000.0,0.0,0.002
2,80.00600000000003,100,9997.0,3.0,0.0017000000000000001
3,93.00599999999996,113,9997.0,3.0,0.0017000000000000001
4,87.002,107,9999.0,1.0,0.0019
5,87.00199999999992,107,9999.0,1.0,0.0019
6,94.002,114,9999.0,1.0,0.0019
7,104.99999999999996,125,10000.0,0.0,0.002
8,107.00199999999997,127,9999.0,1.0,0.0019
9,111.00199999999998,131,9999.0,1.0,0.0019
10,104.00199999999994,124,9999.0,1.0,0.0019
11,104.00199999999994,124,9999.0,1.0,0.0019
12,113.00199999999997,133,9999.0,1.0,0.0019
13,90.99999999999999,111,10000.0,0.0,0.002
14,105.00199999999994,125,9999.0,1.0,0.0019
15,101.00400000000003,121,9998.0,2.0,0.0018
16,101.00399999999995,121,9998.0,2.0,0.0018
17,99.00599999999994,119,9997.0,3.0,0.0017000000000000001
18,101.99999999999997,122,10000.0,0.0,0.002
19,94.002,114,9999.0,1.0,0.0019
20,99.00199999999997,119,9999.0,1.0,0.0019
21,96.99999999999991,117,10000.0,0.0,0.002
22,102.00199999999994,122,9999.0,1.0,0.0019
23,103.00199999999998,123,9999.0,1.0,0.0019
24,102.00399999999995,122,9998.0,2.0,0.0018
25,106.0,126,10000.0,0.0,0.002
26,111.00399999999996,131,9998.0,2.0,0.0018
27,104.00399999999996,124,9998.0,2.0,0.0018
28,112.0039999999999,132,9998.0,2.0,0.0018
29,97.00199999999995,117,9999.0,1.0,0.0019
30,96.00599999999997,116,9997.0,3.0,0.0017000000000000001
