episode,return,clicks,cost,budget_left
1,-1.8869999999999998,2,299.0,1.0
2,0.126,4,298.0,2.0
3,0.11300000000000021,4,299.0,1.0
4,1.1000000000000003,5,300.0,0.0
5,-2.8999999999999995,1,300.0,0.0
6,2.1130000000000004,6,299.0,1.0
7,-0.8739999999999998,3,298.0,2.0
8,1.1000000000000003,5,300.0,0.0
9,2.1,6,300.0,0.0
10,1.1,5,300.0,0.0
11,3.1,7,300.0,0.0
12,-0.8999999999999997,3,300.0,0.0
13,-1.8999999999999997,2,300.0,0.0
14,-0.8999999999999999,3,300.0,0.0
15,-1.8870000000000005,2,299.0,1.0
16,0.1389999999999999,4,297.0,3.0
17,1.1130000000000004,5,299.0,1.0
18,0.10000000000000037,4,300.0,0.0
19,-0.8609999999999998,3,297.0,3.0
20,-0.8999999999999998,3,300.0,0.0
21,-0.861,3,297.0,3.0
22,-0.8999999999999999,3,300.0,0.0
23,-0.8999999999999999,3,300.0,0.0
24,-1.887,2,299.0,1.0
25,0.11300000000000024,4,299.0,1.0
26,-0.8999999999999997,3,300.0,0.0
27,0.10000000000000031,4,300.0,0.0
28,1.1390000000000002,5,297.0,3.0
29,2.1260000000000003,6,298.0,2.0
30,4.1,8,300.0,0.0
31,0.12600000000000056,4,298.0,2.0
32,1.113,5,299.0,1.0
33,-0.874,3,298.0,2.0
34,-0.8999999999999998,3,300.0,0.0
35,-1.8869999999999998,2,299.0,1.0
36,-1.8869999999999998,2,299.0,1.0
37,0.11300000000000024,4,299.0,1.0
38,2.1000000000000005,6,300.0,0.0
39,-2.8739999999999997,1,298.0,2.0
40,-1.8739999999999997,2,298.0,2.0
41,-1.8869999999999998,2,299.0,1.0
42,-1.8869999999999998,2,299.0,1.0
43,-0.8869999999999999,3,299.0,1.0
44,1.113,5,299.0,1.0
45,-0.8739999999999998,3,298.0,2.0
46,0.1390000000000001,4,297.0,3.0
47,-1.9,2,300.0,0.0
48,-0.8869999999999998,3,299.0,1.0
49,2.1000000000000005,6,300.0,0.0
50,-0.8739999999999998,3,298.0,2.0
