episode,return,clicks,cost,budget_left,lambda
1,0.1000000000000002,4,300.0,0.0,0.013
2,0.10000000000000009,4,300.0,0.0,0.013
3,4.126,8,298.0,2.0,0.012799999999999999
4,2.1,6,300.0,0.0,0.013
5,3.1260000000000003,7,298.0,2.0,0.012799999999999999
6,3.1,7,300.0,0.0,0.013
7,6.139000000000001,10,297.0,3.0,0.0127
8,10.100000000000001,14,300.0,0.0,0.013
9,6.113000000000001,10,299.0,1.0,0.0129
10,6.1,10,300.0,0.0,0.013
11,10.100000000000001,14,300.0,0.0,0.013
12,10.100000000000001,14,300.0,0.0,0.013
13,8.100000000000001,12,300.0,0.0,0.013
14,7.099999999999999,11,300.0,0.0,0.013
15,7.099999999999998,11,300.0,0.0,0.013
16,5.1000000000000005,9,300.0,0.0,0.013
17,10.100000000000003,14,300.0,0.0,0.013
18,6.1,10,300.0,0.0,0.013
19,10.113,14,299.0,1.0,0.0129
20,10.100000000000001,14,300.0,0.0,0.013
21,6.126,10,298.0,2.0,0.012799999999999999
22,4.1000000000000005,8,300.0,0.0,0.013
23,7.100000000000001,11,300.0,0.0,0.013
24,10.100000000000001,14,300.0,0.0,0.013
25,9.100000000000001,13,300.0,0.0,0.013
26,5.100000000000001,9,300.0,0.0,0.013
27,7.100000000000001,11,300.0,0.0,0.013
28,6.1,10,300.0,0.0,0.013
29,8.100000000000001,12,300.0,0.0,0.013
30,10.100000000000001,14,300.0,0.0,0.013
31,10.100000000000001,14,300.0,0.0,0.013
32,13.100000000000003,17,300.0,0.0,0.013
33,10.100000000000003,14,300.0,0.0,0.013
34,12.100000000000001,16,300.0,0.0,0.013
35,8.100000000000003,12,300.0,0.0,0.013
36,12.100000000000003,16,300.0,0.0,0.013
37,7.100000000000001,11,300.0,0.0,0.013
38,7.100000000000001,11,300.0,0.0,0.013
39,7.1000000000000005,11,300.0,0.0,0.013
40,6.126000000000001,10,298.0,2.0,0.012799999999999999
41,6.1,10,300.0,0.0,0.013
42,9.100000000000001,13,300.0,0.0,0.013
43,11.100000000000001,15,300.0,0.0,0.013
44,11.1,15,300.0,0.0,0.013
45,11.1,15,300.0,0.0,0.013
46,11.100000000000001,15,300.0,0.0,0.013
47,7.100000000000001,11,300.0,0.0,0.013
48,8.100000000000001,12,300.0,0.0,0.013
49,10.100000000000001,14,300.0,0.0,0.013
50,10.100000000000001,14,300.0,0.0,0.013
