episode,return,clicks,cost,budget_left,lambda
1,-1.8869999999999998,2,299.0,1.0,0.0129
2,-1.887,2,299.0,1.0,0.0129
3,-0.887,3,299.0,1.0,0.0129
4,-0.887,3,299.0,1.0,0.0129
5,0.1130000000000001,4,299.0,1.0,0.0129
6,-0.8869999999999998,3,299.0,1.0,0.0129
7,-0.8869999999999998,3,299.0,1.0,0.0129
8,-2.887,1,299.0,1.0,0.0129
9,-1.887,2,299.0,1.0,0.0129
10,0.1130000000000001,4,299.0,1.0,0.0129
11,0.1130000000000001,4,299.0,1.0,0.0129
12,-0.8869999999999998,3,299.0,1.0,0.0129
13,0.1130000000000001,4,299.0,1.0,0.0129
14,0.1130000000000001,4,299.0,1.0,0.0129
15,-1.8869999999999998,2,299.0,1.0,0.0129
16,-1.8869999999999998,2,299.0,1.0,0.0129
17,0.1130000000000001,4,299.0,1.0,0.0129
18,-1.8869999999999998,2,299.0,1.0,0.0129
19,-0.8869999999999998,3,299.0,1.0,0.0129
20,0.1130000000000001,4,299.0,1.0,0.0129
21,-0.887,3,299.0,1.0,0.0129
22,-0.887,3,299.0,1.0,0.0129
23,-3.887,0,299.0,1.0,0.0129
24,-2.887,1,299.0,1.0,0.0129
25,0.1130000000000001,4,299.0,1.0,0.0129
26,-2.887,1,299.0,1.0,0.0129
27,-1.8869999999999998,2,299.0,1.0,0.0129
28,-2.887,1,299.0,1.0,0.0129
29,-0.887,3,299.0,1.0,0.0129
30,0.1130000000000001,4,299.0,1.0,0.0129
31,-1.8869999999999998,2,299.0,1.0,0.0129
32,-2.887,1,299.0,1.0,0.0129
33,-0.887,3,299.0,1.0,0.0129
34,-0.8869999999999998,3,299.0,1.0,0.0129
35,-0.8869999999999998,3,299.0,1.0,0.0129
36,-1.887,2,299.0,1.0,0.0129
37,-1.887,2,299.0,1.0,0.0129
38,-1.8869999999999998,2,299.0,1.0,0.0129
39,-2.887,1,299.0,1.0,0.0129
40,-0.8869999999999998,3,299.0,1.0,0.0129
41,-2.887,1,299.0,1.0,0.0129
42,-1.887,2,299.0,1.0,0.0129
43,-1.887,2,299.0,1.0,0.0129
44,0.1130000000000001,4,299.0,1.0,0.0129
45,-1.887,2,299.0,1.0,0.0129
46,-2.887,1,299.0,1.0,0.0129
47,-0.8869999999999998,3,299.0,1.0,0.0129
48,-0.8869999999999998,3,299.0,1.0,0.0129
49,-1.887,2,299.0,1.0,0.0129
50,-1.887,2,299.0,1.0,0.0129
