seed,episode,reward_1458,reward_2259,reward_2821,clicks_1458,clicks_2259,clicks_2821,cost_1458,cost_2259,cost_2821
0,1,173.00002796738409,244.00039549916983,206.0001532296883,178,249,211,999.9942,999.92145,999.96747
0,2,96.00029073096812,198.00047224201262,155.0001847507665,101,203,160,999.94476,999.9062,999.9657
0,3,122.00005412928294,232.00044689991046,217.00041804497596,127,237,222,999.9918,999.9101,999.92
0,4,156.000499887974,240.0001846156083,163.0004457028117,161,245,168,999.9006,999.965,999.91235
0,5,107.00231375172734,257.00041950365994,143.00026058254298,112,262,148,999.53864,999.91693,999.9492
0,6,109.00026279501617,332.0003185993992,198.00013321381994,114,337,203,999.94836,999.93353,999.97034
0,7,343.000288765179,395.00010793772526,154.00031440681778,348,400,159,999.9405,999.97516,999.9358
0,8,104.00023925839923,575.0001836159499,577.0001778260339,109,580,582,999.9526,999.9667,999.9618
0,9,184.00036671175621,592.0000005714828,379.99999860930257,189,597,385,999.92645,1000.0041,1000.00446
0,10,245.0042846451979,477.00031041749753,437.00020374474116,250,482,442,999.1401,999.9328,999.95135
0,11,109.0141314866487,563.5664349378785,2442.0174783647526,114,564,2447,997.1743,86.70971,996.48914
0,12,101.01626510173082,0.0,2721.398647003807,106,0,2725,996.7476,0.0,720.2234
0,13,97.00444816052914,0.0,2819.856620606035,102,0,2823,999.11096,0.0,628.65533
0,14,1065.0216457248898,2249.7599474132294,155.00278582412284,1070,2251,160,995.66187,248.00594,999.44305
0,15,1505.0225902135717,1347.2554685088107,148.0027859910624,1510,1348,153,995.44885,148.89989,999.44305
0,16,991.0210793737788,2393.6604440505616,158.00228576129302,996,2395,163,995.77826,267.90714,999.543
0,17,2207.3741336552193,0.0,137.02078625559807,2210,0,142,525.1818,0.0,995.84393
0,18,2183.816452141502,0.0,127.02078647911549,2188,0,132,836.6657,0.0,995.84393
0,19,2241.5662635323824,0.0,127.02078647911549,2244,0,132,486.75684,0.0,995.84393
0,20,2157.0224799219286,82.95049806125462,122.01578658388462,2162,83,127,995.45605,9.900002,996.8437
0,21,772.0182522373507,2855.4319332557498,147.00278600817546,777,2857,152,996.3476,313.60992,999.44305
0,22,818.0150716862408,2734.4944360827794,140.00278617092408,823,2736,145,996.9803,301.10916,999.44305
0,23,1897.01881167409,523.7079877587967,143.00278610072564,1902,524,148,996.1921,58.39968,999.44305
0,24,338.02361048199236,0.0,2453.8574426785344,343,0,2456,995.278,0.0,428.51694
0,25,161.0171618182212,0.0,2665.685937729664,166,0,2668,996.5702,0.0,462.81903
0,26,178.0171622140333,0.0,2669.6859376360662,183,0,2672,996.5702,0.0,462.81903
0,27,164.0171618880704,0.0,2657.68593791686,169,0,2660,996.5702,0.0,462.81903
0,28,170.0171620277688,0.0,2659.685937870061,175,0,2662,996.5702,0.0,462.81903
0,29,179.01716223731637,0.0,2695.6859370276798,184,0,2698,996.5702,0.0,462.81903
0,30,191.01716251671314,0.0,2668.6859376594657,196,0,2671,996.5702,0.0,462.81903
0,31,176.01716216746718,337.01716591604054,1536.0072606381727,181,342,1541,996.5702,996.5702,998.5497
0,32,91.02078728377819,323.01716559007764,226.00376859493554,96,328,231,995.84393,996.5702,999.24915
0,33,94.00381357141305,324.0171656133607,206.00376812927425,99,329,211,999.2386,996.5702,999.24915
0,34,283.0002415943891,331.01716577634215,359.0084797106683,288,336,364,999.94415,996.5702,998.2968
0,35,273.000241426751,342.01716603245586,345.00847947597504,278,347,350,999.94415,996.5702,998.2968
