episode,seed,steps,total_clicks,total_wins,total_cost,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476
1,0,125000,893,8847,249587.2421875,151,1568,49990.62890625,99.98124694824219,34.692317962646484,3.9231436252593994,2.3888401985168457,170,1496,49977.75390625,99.95551300048828,1.487298846244812,3.9186060428619385,2.386509418487549,181,1780,49986.80859375,99.97358703613281,99.97753143310547,3.918740749359131,2.3829002380371094,213,2421,49647.87890625,99.29582214355469,23.3471622467041,3.9241039752960205,2.3876452445983887,178,1582,49984.171875,99.96835327148438,2.164900064468384,3.9203808307647705,2.392767906188965
2,0,125000,656,6824,248051.30078125,134,1521,49980.66015625,99.9613037109375,99.95223236083984,3.922969341278076,2.387734889984131,147,1508,49465.7578125,98.93153381347656,69.97531127929688,3.9185445308685303,2.3861889839172363,99,1089,49998.0390625,99.99609375,99.9994125366211,3.9186806678771973,2.381863832473755,164,1709,49997.265625,99.99453735351562,22.444496154785156,3.92410945892334,2.3886361122131348,112,997,48609.578125,97.21912384033203,5.861833095550537,3.9215869903564453,2.3940563201904297
3,0,125000,1049,9737,247728.421875,219,2420,49582.14453125,99.1643295288086,80.37686157226562,3.9258105754852295,2.3923816680908203,190,1709,49089.19140625,98.1784439086914,2.553591012954712,3.92349910736084,2.392150402069092,226,1836,49333.37109375,98.66671752929688,10.27377986907959,3.9248132705688477,2.389399528503418,224,2186,49960.60546875,99.92122650146484,3.32377290725708,3.9256300926208496,2.391310691833496,190,1586,49763.109375,99.52626037597656,4.026107311248779,3.924717426300049,2.393043041229248
4,0,125000,807,7652,245553.1875,210,1951,49993.95703125,99.98790740966797,99.99513244628906,3.925604820251465,2.3916702270507812,244,2691,49537.703125,99.07542419433594,9.444474220275879,3.9221577644348145,2.391643524169922,197,1736,49012.7421875,98.02552032470703,4.614154815673828,3.923330307006836,2.3876402378082275,80,619,48679.5234375,97.35903930664062,11.09228801727295,3.924736499786377,2.390015125274658,76,655,48329.26171875,96.65852355957031,1.3431620597839355,3.922940254211426,2.391677141189575
5,0,125000,1095,9089,248140.00390625,233,1991,49999.07421875,99.99816131591797,99.9998550415039,3.924264430999756,2.389145851135254,218,1689,49973.8203125,99.94766235351562,0.8815039396286011,3.9199981689453125,2.3903188705444336,185,1652,49168.87109375,98.33770751953125,42.150264739990234,3.9203968048095703,2.38442325592041,237,1896,49933.08203125,99.86611938476562,0.25894132256507874,3.92404842376709,2.3883776664733887,222,1861,49065.15625,98.1303482055664,33.52626037597656,3.920522689819336,2.3899922370910645
6,0,125000,1089,10012,248610.3203125,223,1983,49989.89453125,99.97985076904297,99.98677062988281,3.9269416332244873,2.3919317722320557,266,2421,48636.02734375,97.2720718383789,9.766706466674805,3.9216668605804443,2.3916289806365967,228,2412,49989.84375,99.97969055175781,2.356787919998169,3.9235997200012207,2.387380838394165,177,1319,49998.98046875,99.99794006347656,14.379810333251953,3.924504518508911,2.390638589859009,195,1877,49995.57421875,99.99115753173828,5.260915279388428,3.9235715866088867,2.3913445472717285
7,0,125000,837,7994,247352.2734375,177,1539,49945.03515625,99.89009094238281,1.937798023223877,3.926469087600708,2.391317367553711,162,1617,48450.95703125,96.90190887451172,2.1636204719543457,3.919989585876465,2.389946460723877,186,1764,49996.40625,99.9928207397461,91.50144958496094,3.922743320465088,2.385896682739258,142,1549,49088.47265625,98.17699432373047,22.9393367767334,3.9243502616882324,2.3893604278564453,170,1525,49871.40234375,99.74281311035156,97.94783782958984,3.922227382659912,2.3899240493774414
8,0,125000,724,8427,248897.09375,48,574,49779.71875,99.55941772460938,94.1037368774414,3.9248640537261963,2.388951301574707,117,1419,49984.3828125,99.96878814697266,2.2432148456573486,3.9186012744903564,2.389345407485962,209,2340,49996.734375,99.9935531616211,37.87117385864258,3.919982433319092,2.3778133392333984,164,1829,49991.53515625,99.98308563232422,3.826115131378174,3.9243664741516113,2.38708758354187,186,2265,49144.72265625,98.2894515991211,40.05974197387695,3.9193828105926514,2.3875303268432617
9,0,125000,775,8171,247914.71875,152,1843,49976.32421875,99.95266723632812,1.8402180671691895,3.9230637550354004,2.3830180168151855,186,1708,48817.06640625,97.63410949707031,13.346748352050781,3.9175491333007812,2.3866806030273438,146,1607,49997.71484375,99.99542999267578,6.595281600952148,3.918626308441162,2.3700623512268066,146,1502,49999.01953125,99.99800872802734,99.99983978271484,3.9237868785858154,2.38657546043396,145,1511,49124.59375,98.24919128417969,38.352455139160156,3.9157426357269287,2.3855090141296387
10,0,125000,879,8561,247566.68359375,195,1930,49394.58203125,98.78916931152344,6.005359649658203,3.923689126968384,2.3838958740234375,217,2287,49692.2421875,99.38448333740234,16.701004028320312,3.9183080196380615,2.388228416442871,94,954,48506.60546875,97.01316833496094,6.150651931762695,3.9189486503601074,2.3680453300476074,125,948,49989.234375,99.97846221923828,2.857593536376953,3.9241719245910645,2.3896102905273438,248,2442,49984.01953125,99.96797943115234,2.8531787395477295,3.9159982204437256,2.3860182762145996
