episode,seed,steps,total_clicks,total_wins,total_cost,ppo_epochs_run,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,kl_1458,ratio_max_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,kl_2259,ratio_max_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,kl_3386,ratio_max_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,kl_2997,ratio_max_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476,kl_3476,ratio_max_3476
1,1,125000,700,6175,246244.41015625,4,213,2143,49975.6328125,99.95121002197266,99.9244384765625,3.931704521179199,2.397747755050659,0.0007866286905482411,1.084641695022583,71,527,48706.44140625,97.41287994384766,12.340749740600586,3.931772470474243,2.397784471511841,0.0006762170814909041,1.0839029550552368,171,1327,48497.2265625,96.99446868896484,4.683925628662109,3.9317100048065186,2.397719621658325,0.0008182406309060752,1.105843424797058,95,927,49066.953125,98.13389587402344,10.155574798583984,3.9317219257354736,2.3977599143981934,0.0008530569029971957,1.1041131019592285,150,1251,49998.15625,99.9963607788086,36.59561538696289,3.931741237640381,2.3977713584899902,0.0006509494851343334,1.0863566398620605
2,1,125000,841,8053,248939.58203125,4,183,1913,49862.7421875,99.72554016113281,1.9891691207885742,3.931323766708374,2.3973801136016846,0.00035367486998438835,1.0611112117767334,180,1609,49997.921875,99.99584197998047,99.99935150146484,3.9314868450164795,2.3972177505493164,0.0003980016626883298,1.0545377731323242,159,1484,49959.71875,99.91947174072266,0.9724130630493164,3.9312634468078613,2.397109031677246,0.0003631233994383365,1.0596574544906616,141,1212,49967.30078125,99.93465423583984,99.86502075195312,3.9313108921051025,2.3973355293273926,0.00035650251084007323,1.0679638385772705,178,1835,49151.8984375,98.30381774902344,5.977646350860596,3.931368112564087,2.3971786499023438,0.00037108181277289987,1.0621753931045532
3,1,125000,983,9822,249424.01953125,4,220,2280,49973.37890625,99.9468002319336,1.2014542818069458,3.9309399127960205,2.3970494270324707,0.00023992299975361675,1.0445945262908936,182,1686,49994.01953125,99.988037109375,2.616743564605713,3.930986166000366,2.396512031555176,0.00033987281494773924,1.0635128021240234,213,2294,49569.21484375,99.13851928710938,79.28363800048828,3.9306721687316895,2.396573781967163,0.00024193525314331055,1.0332109928131104,165,1598,49891.68359375,99.78327941894531,0.5151118636131287,3.930875778198242,2.397002696990967,0.0002965402672998607,1.0446158647537231,203,1964,49995.72265625,99.99138641357422,4.411892414093018,3.9308736324310303,2.3964760303497314,0.00030192374833859503,1.0508804321289062
4,1,125000,692,7865,249321.0625,4,158,1631,49894.10546875,99.78821563720703,0.43840882182121277,3.930173873901367,2.396329402923584,0.0002390551526332274,1.0625693798065186,147,1649,49996.25,99.99249267578125,10.134021759033203,3.9302501678466797,2.3957579135894775,0.0003434896352700889,1.0597652196884155,156,2012,49469.140625,98.93828582763672,70.2907485961914,3.929637908935547,2.3957226276397705,0.00030977249843999743,1.0466924905776978,116,1214,49975.71484375,99.95148468017578,99.92522430419922,3.9302470684051514,2.396296262741089,0.00036627292865887284,1.0411652326583862,115,1359,49985.8515625,99.97173309326172,99.97431182861328,3.930124044418335,2.395596504211426,0.00017550944176036865,1.0373780727386475
5,1,125000,728,7282,247698.66015625,4,66,681,48430.55078125,96.86105346679688,4.5966291427612305,3.929565906524658,2.395700216293335,0.00036025524605065584,1.0845284461975098,94,964,49991.9375,99.98388671875,4.803490161895752,3.929874897003174,2.395484209060669,0.0002941083803307265,1.0617246627807617,178,2123,49992.546875,99.98509216308594,34.74130630493164,3.9290010929107666,2.395613431930542,0.00011979579721810296,1.0248278379440308,190,1682,49975.84375,99.95167541503906,2.2456061840057373,3.929548501968384,2.395467519760132,0.00017700671742204577,1.0357370376586914,200,1832,49307.78125,98.6155776977539,54.92012405395508,3.9297032356262207,2.3952832221984863,0.00016955613682512194,1.0407779216766357
6,1,125000,728,8153,247505.29296875,4,132,1527,49995.26953125,99.99051666259766,99.9969482421875,3.926715612411499,2.3923099040985107,0.0005713248392567039,1.0699231624603271,186,1902,49936.7578125,99.87358093261719,6.555605411529541,3.927943706512451,2.393244504928589,0.00025507211103104055,1.0427311658859253,177,1924,49999.7890625,99.99958038330078,99.99998474121094,3.926835775375366,2.3941729068756104,0.0003426122711971402,1.0529439449310303,156,2200,49127.0859375,98.25418090820312,27.072269439697266,3.927814245223999,2.393784523010254,0.00014215230476111174,1.035413146018982,77,600,48446.390625,96.89275360107422,4.890094757080078,3.9284417629241943,2.3942837715148926,0.00023281096946448088,1.0397472381591797
7,1,125000,714,7014,245849.41015625,4,104,968,49995.1328125,99.9902114868164,49.281524658203125,3.926591634750366,2.3920717239379883,0.00014567136531695724,1.0358190536499023,100,810,48893.9375,97.78785705566406,11.539361000061035,3.9278905391693115,2.39371657371521,0.00018965959316119552,1.0437933206558228,171,1922,48422.875,96.84587860107422,2.9941039085388184,3.9273622035980225,2.394775390625,0.00026723145856522024,1.0499076843261719,230,2068,49469.83984375,98.93968200683594,6.879377841949463,3.9282848834991455,2.394791603088379,0.00014589309284929186,1.0349146127700806,109,1246,49067.625,98.13526916503906,16.469205856323242,3.928333044052124,2.3947458267211914,0.00014124154404271394,1.0437748432159424
8,1,125000,933,9193,248273.7109375,4,166,1185,48721.88671875,97.4437484741211,12.900097846984863,3.926010847091675,2.391893148422241,0.00028507469687610865,1.0586549043655396,165,1907,49679.9609375,99.3599624633789,87.9690170288086,3.9268455505371094,2.39316987991333,0.00011808633280452341,1.0386946201324463,202,1961,49891.8125,99.78368377685547,0.43283310532569885,3.9274535179138184,2.3948233127593994,0.00024634122382849455,1.0667744874954224,207,2103,49980.73046875,99.9614028930664,99.95247650146484,3.928489923477173,2.3953723907470703,0.0001312017411692068,1.0361055135726929,193,2037,49999.3203125,99.99862670898438,99.9999008178711,3.927719831466675,2.3943703174591064,0.00021307467250153422,1.060173511505127
9,1,125000,1069,9901,249850.85546875,4,202,1707,49999.27734375,99.9985580444336,6.736197471618652,3.9236156940460205,2.3897714614868164,0.00031182050588540733,1.0657672882080078,197,2294,49975.64453125,99.95126342773438,2.4775190353393555,3.9251229763031006,2.3916537761688232,0.00033204315695911646,1.0532673597335815,255,2388,49970.921875,99.9418716430664,10.20613956451416,3.926128387451172,2.3936266899108887,9.823083382798359e-05,1.0274039506912231,209,2069,49979.93359375,99.95980834960938,1.070517659187317,3.92724871635437,2.3948521614074707,0.00023577928368467838,1.048516869544983,206,1443,49925.078125,99.85018157958984,0.7965893149375916,3.9255454540252686,2.392977476119995,0.0004225182346999645,1.0623986721038818
10,1,125000,1068,9243,248217.12109375,4,225,1723,49985.078125,99.97013854980469,7.514551639556885,3.9228410720825195,2.38865327835083,0.00037286756560206413,1.056906819343567,223,2062,49687.3359375,99.37461853027344,88.48088836669922,3.923691987991333,2.3905246257781982,0.0004032039432786405,1.0666147470474243,225,1857,49968.3359375,99.93670654296875,1.6336710453033447,3.9262144565582275,2.3936986923217773,0.00018213271687272936,1.0487059354782104,205,1816,49990.18359375,99.98037719726562,3.134519100189209,3.9270408153533936,2.394834280014038,0.00014089822070673108,1.0417760610580444,190,1785,48586.1875,97.17233276367188,3.1714186668395996,3.9233322143554688,2.391602039337158,0.00043888806249015033,1.060204267501831
